Björn Haßler	EdTech Hub (Open Development & Education)	0000-0002-5277-9947
Bjoern Hassler	EdTech Hub (Open Development & Education)	0000-0002-5277-9947
Bjoern Haßler	EdTech Hub (Open Development & Education)	0000-0002-5277-9947
Björn Hassler	EdTech Hub (Open Development & Education)	0000-0002-5277-9947

